,Id,CodePostal,Latitude,Longitude,Coordonnées,lien
0,10241,47450,44.242150699999996,0.5471777963815636,"44.242150699999996,0.5471777963815636",https://si.eeudf.org/lieu/voir/10241
1,10269,48170,44.639284599999996,3.6746072964828365,"44.639284599999996,3.6746072964828365",https://si.eeudf.org/lieu/voir/10269
2,10274,01800,45.8860262,5.169616274572701,"45.8860262,5.169616274572701",https://si.eeudf.org/lieu/voir/10274
3,10275,48110,44.18713245,3.717506017248183,"44.18713245,3.717506017248183",https://si.eeudf.org/lieu/voir/10275
4,10276,30450,44.37177585,3.9807083096851716,"44.37177585,3.9807083096851716",https://si.eeudf.org/lieu/voir/10276
5,10277,16150,45.869662399999996,0.7241321268469574,"45.869662399999996,0.7241321268469574",https://si.eeudf.org/lieu/voir/10277
6,11343,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11343
7,10237,13390,43.359366800000004,5.658320909531718,"43.359366800000004,5.658320909531718",https://si.eeudf.org/lieu/voir/10237
8,10393,29510,48.0964161,-4.000129767991873,"48.0964161,-4.000129767991873",https://si.eeudf.org/lieu/voir/10393
9,10487,31081,43.5919646,1.3751629,"43.5919646,1.3751629",https://si.eeudf.org/lieu/voir/10487
10,10499,21530,47.3843038,4.144914997271011,"47.3843038,4.144914997271011",https://si.eeudf.org/lieu/voir/10499
11,10511,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10511
12,10512,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10512
13,10534,07160,44.8991645,4.434444593575419,"44.8991645,4.434444593575419",https://si.eeudf.org/lieu/voir/10534
15,11068,83440,43.64459605,6.68097996246104,"43.64459605,6.68097996246104",https://si.eeudf.org/lieu/voir/11068
16,11134,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11134
17,10559,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10559
18,10282,24510,44.94133255,0.7546158488940613,"44.94133255,0.7546158488940613",https://si.eeudf.org/lieu/voir/10282
19,10283,02160,49.391886650000004,3.720454338880018,"49.391886650000004,3.720454338880018",https://si.eeudf.org/lieu/voir/10283
20,10291,33350,44.8430545,-0.049052773367123395,"44.8430545,-0.049052773367123395",https://si.eeudf.org/lieu/voir/10291
21,10292,43520,45.042832000000004,4.234067992685486,"45.042832000000004,4.234067992685486",https://si.eeudf.org/lieu/voir/10292
22,10300,26400,44.75054845,5.022119457922379,"44.75054845,5.022119457922379",https://si.eeudf.org/lieu/voir/10300
23,10319,81100,43.617250600000006,2.252883554125058,"43.617250600000006,2.252883554125058",https://si.eeudf.org/lieu/voir/10319
24,10325,29430,48.6219902,-4.209344225478395,"48.6219902,-4.209344225478395",https://si.eeudf.org/lieu/voir/10325
25,10326,02200,49.3604063,3.3229899380799717,"49.3604063,3.3229899380799717",https://si.eeudf.org/lieu/voir/10326
26,10327,86300,46.544916,0.6910906666416572,"46.544916,0.6910906666416572",https://si.eeudf.org/lieu/voir/10327
27,10333,34500,43.34784945,3.221014566797395,"43.34784945,3.221014566797395",https://si.eeudf.org/lieu/voir/10333
28,10338,67130,48.4783917,7.201094651318517,"48.4783917,7.201094651318517",https://si.eeudf.org/lieu/voir/10338
29,10340,56230,47.692429149999995,-2.4480004743112653,"47.692429149999995,-2.4480004743112653",https://si.eeudf.org/lieu/voir/10340
30,10350,67260,48.9683605,7.062943701897101,"48.9683605,7.062943701897101",https://si.eeudf.org/lieu/voir/10350
31,10351,88200,48.02451485,6.572264331506521,"48.02451485,6.572264331506521",https://si.eeudf.org/lieu/voir/10351
32,10364,56130,47.5352466,-2.239351557072281,"47.5352466,-2.239351557072281",https://si.eeudf.org/lieu/voir/10364
33,10370,24700,45.0248541,0.12182525752224525,"45.0248541,0.12182525752224525",https://si.eeudf.org/lieu/voir/10370
34,10376,26160,44.5527752,4.9406225990872334,"44.5527752,4.9406225990872334",https://si.eeudf.org/lieu/voir/10376
35,10381,38270,45.3601585,5.015136289601344,"45.3601585,5.015136289601344",https://si.eeudf.org/lieu/voir/10381
36,10391,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10391
37,10415,36330,46.724472500000005,1.6840876038515797,"46.724472500000005,1.6840876038515797",https://si.eeudf.org/lieu/voir/10415
38,10416,29510,48.0964161,-4.000129767991873,"48.0964161,-4.000129767991873",https://si.eeudf.org/lieu/voir/10416
39,10422,76810,49.81736325,0.9028302823322247,"49.81736325,0.9028302823322247",https://si.eeudf.org/lieu/voir/10422
40,10431,45210,48.07627,2.856076750792367,"48.07627,2.856076750792367",https://si.eeudf.org/lieu/voir/10431
41,10434,81260,43.59671185,2.5198091539345917,"43.59671185,2.5198091539345917",https://si.eeudf.org/lieu/voir/10434
42,10448,37330,47.53081765,0.31375722402799766,"47.53081765,0.31375722402799766",https://si.eeudf.org/lieu/voir/10448
43,10449,30170,43.94789055,3.862769659802935,"43.94789055,3.862769659802935",https://si.eeudf.org/lieu/voir/10449
44,10456,43430,44.9704497,4.247638177418526,"44.9704497,4.247638177418526",https://si.eeudf.org/lieu/voir/10456
45,10457,43430,44.9704497,4.247638177418526,"44.9704497,4.247638177418526",https://si.eeudf.org/lieu/voir/10457
46,10460,79800,46.37623835,-0.08699799991298154,"46.37623835,-0.08699799991298154",https://si.eeudf.org/lieu/voir/10460
47,10462,59140,51.04029145,2.3494726091914684,"51.04029145,2.3494726091914684",https://si.eeudf.org/lieu/voir/10462
48,10465,07110,44.55172225,4.250077936356515,"44.55172225,4.250077936356515",https://si.eeudf.org/lieu/voir/10465
49,10467,30270,44.10973835,3.886665907095348,"44.10973835,3.886665907095348",https://si.eeudf.org/lieu/voir/10467
50,10468,74250,46.15190985,6.381272925543605,"46.15190985,6.381272925543605",https://si.eeudf.org/lieu/voir/10468
51,10476,33760,44.71884885,-0.22250025450416894,"44.71884885,-0.22250025450416894",https://si.eeudf.org/lieu/voir/10476
52,10485,30700,44.0162726,4.44690191634042,"44.0162726,4.44690191634042",https://si.eeudf.org/lieu/voir/10485
53,10488,33730,44.4286453,-0.3468962703117785,"44.4286453,-0.3468962703117785",https://si.eeudf.org/lieu/voir/10488
54,10492,30700,44.0162726,4.44690191634042,"44.0162726,4.44690191634042",https://si.eeudf.org/lieu/voir/10492
55,10493,01960,46.150067750000005,5.1716614405407855,"46.150067750000005,5.1716614405407855",https://si.eeudf.org/lieu/voir/10493
57,10497,65320,43.27589305,-0.11106359731182763,"43.27589305,-0.11106359731182763",https://si.eeudf.org/lieu/voir/10497
58,10513,29260,48.5541784,-4.317899992777607,"48.5541784,-4.317899992777607",https://si.eeudf.org/lieu/voir/10513
60,10556,31081,43.5919646,1.3751629,"43.5919646,1.3751629",https://si.eeudf.org/lieu/voir/10556
61,10593,62100,50.952366999999995,1.8704954890187007,"50.952366999999995,1.8704954890187007",https://si.eeudf.org/lieu/voir/10593
62,10596,56370,47.5217136,-2.746659459146339,"47.5217136,-2.746659459146339",https://si.eeudf.org/lieu/voir/10596
63,10602,17200,45.655354700000004,-1.0182563642975804,"45.655354700000004,-1.0182563642975804",https://si.eeudf.org/lieu/voir/10602
64,10243,36300,46.66347825,1.1591327028870466,"46.66347825,1.1591327028870466",https://si.eeudf.org/lieu/voir/10243
65,10252,95270,49.11469485,2.405012250937715,"49.11469485,2.405012250937715",https://si.eeudf.org/lieu/voir/10252
66,10253,17520,45.50686455,-0.3355920353451083,"45.50686455,-0.3355920353451083",https://si.eeudf.org/lieu/voir/10253
67,10254,14140,49.020275299999994,0.1894016783909605,"49.020275299999994,0.1894016783909605",https://si.eeudf.org/lieu/voir/10254
68,10256,33590,45.4358342,-1.040505246879624,"45.4358342,-1.040505246879624",https://si.eeudf.org/lieu/voir/10256
69,10259,01110,45.98593035,5.557233364139975,"45.98593035,5.557233364139975",https://si.eeudf.org/lieu/voir/10259
70,10261,89130,47.7361935,3.2632423382606603,"47.7361935,3.2632423382606603",https://si.eeudf.org/lieu/voir/10261
71,10281,27200,49.092086699999996,1.4889999228046187,"49.092086699999996,1.4889999228046187",https://si.eeudf.org/lieu/voir/10281
72,10284,18260,47.4338816,2.66348405836142,"47.4338816,2.66348405836142",https://si.eeudf.org/lieu/voir/10284
73,10287,31260,43.0694919,0.9499542734401614,"43.0694919,0.9499542734401614",https://si.eeudf.org/lieu/voir/10287
74,10313,89520,47.58402075,3.2482607621512662,"47.58402075,3.2482607621512662",https://si.eeudf.org/lieu/voir/10313
75,10317,13006,43.28901858356164,5.38115136369863,"43.28901858356164,5.38115136369863",https://si.eeudf.org/lieu/voir/10317
76,10318,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10318
77,10335,14340,49.1746663,0.09741958675984186,"49.1746663,0.09741958675984186",https://si.eeudf.org/lieu/voir/10335
78,10343,30570,44.06040145,3.674935462583258,"44.06040145,3.674935462583258",https://si.eeudf.org/lieu/voir/10343
79,10345,49220,47.6481818,-0.7289860645799702,"47.6481818,-0.7289860645799702",https://si.eeudf.org/lieu/voir/10345
80,10346,79130,46.6267249,-0.3973536091981138,"46.6267249,-0.3973536091981138",https://si.eeudf.org/lieu/voir/10346
81,10354,68910,48.1113158,7.199499189210963,"48.1113158,7.199499189210963",https://si.eeudf.org/lieu/voir/10354
82,10356,30460,44.0540865,3.8304471570689356,"44.0540865,3.8304471570689356",https://si.eeudf.org/lieu/voir/10356
83,10358,91580,48.492316450000004,2.181883585988255,"48.492316450000004,2.181883585988255",https://si.eeudf.org/lieu/voir/10358
84,10362,26220,44.499833300000006,5.141821217163793,"44.499833300000006,5.141821217163793",https://si.eeudf.org/lieu/voir/10362
85,10365,58300,46.807134950000005,3.4862325276916284,"46.807134950000005,3.4862325276916284",https://si.eeudf.org/lieu/voir/10365
86,10367,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10367
87,10369,26120,44.869575499999996,5.064309003847684,"44.869575499999996,5.064309003847684",https://si.eeudf.org/lieu/voir/10369
88,10374,39190,46.5584343,5.416074663991675,"46.5584343,5.416074663991675",https://si.eeudf.org/lieu/voir/10374
89,10380,63290,45.958427,3.5023157749137814,"45.958427,3.5023157749137814",https://si.eeudf.org/lieu/voir/10380
90,10401,26160,44.5527752,4.9406225990872334,"44.5527752,4.9406225990872334",https://si.eeudf.org/lieu/voir/10401
91,10402,48400,44.278627,3.62189493840863,"44.278627,3.62189493840863",https://si.eeudf.org/lieu/voir/10402
92,10412,12410,44.17254885,2.7937188830554183,"44.17254885,2.7937188830554183",https://si.eeudf.org/lieu/voir/10412
93,10414,22310,48.6341313,-3.6115117353344584,"48.6341313,-3.6115117353344584",https://si.eeudf.org/lieu/voir/10414
94,10424,26400,44.75054845,5.022119457922379,"44.75054845,5.022119457922379",https://si.eeudf.org/lieu/voir/10424
95,10444,37190,47.24385695,0.4664572580195624,"47.24385695,0.4664572580195624",https://si.eeudf.org/lieu/voir/10444
96,10445,21530,47.3843038,4.144914997271011,"47.3843038,4.144914997271011",https://si.eeudf.org/lieu/voir/10445
97,10446,86430,46.21868405,0.7778457814383395,"46.21868405,0.7778457814383395",https://si.eeudf.org/lieu/voir/10446
98,10451,33640,44.694068200000004,-0.4495209074014881,"44.694068200000004,-0.4495209074014881",https://si.eeudf.org/lieu/voir/10451
99,10452,29770,48.0399084,-4.636911715844999,"48.0399084,-4.636911715844999",https://si.eeudf.org/lieu/voir/10452
100,10453,45230,47.80458415,2.883886299712352,"47.80458415,2.883886299712352",https://si.eeudf.org/lieu/voir/10453
101,10459,60250,49.3157908,2.321719148142391,"49.3157908,2.321719148142391",https://si.eeudf.org/lieu/voir/10459
102,10464,45230,47.80458415,2.883886299712352,"47.80458415,2.883886299712352",https://si.eeudf.org/lieu/voir/10464
103,10495,51140,49.3116012,3.841530383065372,"49.3116012,3.841530383065372",https://si.eeudf.org/lieu/voir/10495
104,10496,04400,44.349728850000005,6.648850542942137,"44.349728850000005,6.648850542942137",https://si.eeudf.org/lieu/voir/10496
105,10498,24560,44.7431328,0.6011424760231311,"44.7431328,0.6011424760231311",https://si.eeudf.org/lieu/voir/10498
106,10500,33590,45.4358342,-1.040505246879624,"45.4358342,-1.040505246879624",https://si.eeudf.org/lieu/voir/10500
107,10520,57810,48.71388625,6.742124441741543,"48.71388625,6.742124441741543",https://si.eeudf.org/lieu/voir/10520
108,10524,48600,44.78965315,3.6456850384191997,"44.78965315,3.6456850384191997",https://si.eeudf.org/lieu/voir/10524
109,10543,26410,44.69560345,5.539186939682887,"44.69560345,5.539186939682887",https://si.eeudf.org/lieu/voir/10543
110,10560,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10560
111,10563,44521,47.376291699999996,-1.285740734439298,"47.376291699999996,-1.285740734439298",https://si.eeudf.org/lieu/voir/10563
112,10570,28480,48.300673,1.0225551210544834,"48.300673,1.0225551210544834",https://si.eeudf.org/lieu/voir/10570
113,10580,12230,43.991589000000005,3.242041007214646,"43.991589000000005,3.242041007214646",https://si.eeudf.org/lieu/voir/10580
114,10582,07160,44.8991645,4.434444593575419,"44.8991645,4.434444593575419",https://si.eeudf.org/lieu/voir/10582
115,10587,01260,45.9949185,5.689675444328852,"45.9949185,5.689675444328852",https://si.eeudf.org/lieu/voir/10587
116,10589,26400,44.75054845,5.022119457922379,"44.75054845,5.022119457922379",https://si.eeudf.org/lieu/voir/10589
117,10608,95610,49.02212455,2.1030397238317233,"49.02212455,2.1030397238317233",https://si.eeudf.org/lieu/voir/10608
118,10610,23210,46.086190450000004,1.656883509904063,"46.086190450000004,1.656883509904063",https://si.eeudf.org/lieu/voir/10610
119,10710,26150,44.78390915,5.355006529582031,"44.78390915,5.355006529582031",https://si.eeudf.org/lieu/voir/10710
120,10713,01960,46.150067750000005,5.1716614405407855,"46.150067750000005,5.1716614405407855",https://si.eeudf.org/lieu/voir/10713
121,10716,33121,45.078867,-1.0422891126380476,"45.078867,-1.0422891126380476",https://si.eeudf.org/lieu/voir/10716
122,10717,95590,49.10609395,2.2853272277173913,"49.10609395,2.2853272277173913",https://si.eeudf.org/lieu/voir/10717
123,10720,47270,44.190968749999996,0.7997127211456612,"44.190968749999996,0.7997127211456612",https://si.eeudf.org/lieu/voir/10720
124,10722,06670,43.831379350000006,7.232482404204683,"43.831379350000006,7.232482404204683",https://si.eeudf.org/lieu/voir/10722
125,10725,69630,45.70889545,4.742711856143981,"45.70889545,4.742711856143981",https://si.eeudf.org/lieu/voir/10725
126,10736,26400,44.75054845,5.022119457922379,"44.75054845,5.022119457922379",https://si.eeudf.org/lieu/voir/10736
127,10744,43400,45.05413795,4.320837793736195,"45.05413795,4.320837793736195",https://si.eeudf.org/lieu/voir/10744
128,10764,01510,45.84967895,5.605475932917535,"45.84967895,5.605475932917535",https://si.eeudf.org/lieu/voir/10764
129,10771,17520,45.50686455,-0.3355920353451083,"45.50686455,-0.3355920353451083",https://si.eeudf.org/lieu/voir/10771
130,10777,81260,43.59671185,2.5198091539345917,"43.59671185,2.5198091539345917",https://si.eeudf.org/lieu/voir/10777
131,10781,17700,46.117334650000004,-0.6974180035662488,"46.117334650000004,-0.6974180035662488",https://si.eeudf.org/lieu/voir/10781
132,10784,14500,48.829509849999994,-0.8659866045998419,"48.829509849999994,-0.8659866045998419",https://si.eeudf.org/lieu/voir/10784
134,10807,30140,44.07707095,3.9865616779071953,"44.07707095,3.9865616779071953",https://si.eeudf.org/lieu/voir/10807
135,10816,30570,44.06040145,3.674935462583258,"44.06040145,3.674935462583258",https://si.eeudf.org/lieu/voir/10816
136,10822,69630,45.70889545,4.742711856143981,"45.70889545,4.742711856143981",https://si.eeudf.org/lieu/voir/10822
137,10840,25550,47.5135445,6.7341222722190945,"47.5135445,6.7341222722190945",https://si.eeudf.org/lieu/voir/10840
138,10844,24700,45.0248541,0.12182525752224525,"45.0248541,0.12182525752224525",https://si.eeudf.org/lieu/voir/10844
139,10850,81700,43.556520000000006,2.0282011950306034,"43.556520000000006,2.0282011950306034",https://si.eeudf.org/lieu/voir/10850
140,10856,13009,43.24909280166666,5.414807446666667,"43.24909280166666,5.414807446666667",https://si.eeudf.org/lieu/voir/10856
141,10857,33640,44.694068200000004,-0.4495209074014881,"44.694068200000004,-0.4495209074014881",https://si.eeudf.org/lieu/voir/10857
142,10860,38380,45.38177505,5.760588259776835,"45.38177505,5.760588259776835",https://si.eeudf.org/lieu/voir/10860
143,10862,11360,42.984142500000004,2.7933857617963858,"42.984142500000004,2.7933857617963858",https://si.eeudf.org/lieu/voir/10862
144,10871,43520,45.042832000000004,4.234067992685486,"45.042832000000004,4.234067992685486",https://si.eeudf.org/lieu/voir/10871
145,10876,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10876
146,10883,24290,45.052687250000005,1.176057982895685,"45.052687250000005,1.176057982895685",https://si.eeudf.org/lieu/voir/10883
147,10884,44000,47.22312521603877,-1.5532802165984168,"47.22312521603877,-1.5532802165984168",https://si.eeudf.org/lieu/voir/10884
148,10910,43400,45.05413795,4.320837793736195,"45.05413795,4.320837793736195",https://si.eeudf.org/lieu/voir/10910
149,10921,06140,43.7583752,7.081347618814558,"43.7583752,7.081347618814558",https://si.eeudf.org/lieu/voir/10921
150,10943,73170,45.69712425,5.77582201619242,"45.69712425,5.77582201619242",https://si.eeudf.org/lieu/voir/10943
151,10981,38930,44.790793699999995,5.618070660122556,"44.790793699999995,5.618070660122556",https://si.eeudf.org/lieu/voir/10981
152,10991,29910,47.83717875,-3.8490710665278085,"47.83717875,-3.8490710665278085",https://si.eeudf.org/lieu/voir/10991
153,10992,89520,47.58402075,3.2482607621512662,"47.58402075,3.2482607621512662",https://si.eeudf.org/lieu/voir/10992
154,11006,86290,46.44360025,1.0473574176600426,"46.44360025,1.0473574176600426",https://si.eeudf.org/lieu/voir/11006
155,11007,57340,48.9294169,6.632137727841252,"48.9294169,6.632137727841252",https://si.eeudf.org/lieu/voir/11007
156,11011,21390,47.3799762,4.357280293748408,"47.3799762,4.357280293748408",https://si.eeudf.org/lieu/voir/11011
157,11015,30570,44.06040145,3.674935462583258,"44.06040145,3.674935462583258",https://si.eeudf.org/lieu/voir/11015
158,11039,32350,43.658061849999996,0.44201175023376305,"43.658061849999996,0.44201175023376305",https://si.eeudf.org/lieu/voir/11039
159,11040,13104,43.574642675,4.749507825,"43.574642675,4.749507825",https://si.eeudf.org/lieu/voir/11040
160,11041,20137,41.592000850000005,9.235602796607207,"41.592000850000005,9.235602796607207",https://si.eeudf.org/lieu/voir/11041
161,11044,79120,46.2785262,0.02270493219133775,"46.2785262,0.02270493219133775",https://si.eeudf.org/lieu/voir/11044
162,11050,11390,43.389012,2.281929412834957,"43.389012,2.281929412834957",https://si.eeudf.org/lieu/voir/11050
163,11057,61110,48.429859050000005,0.8226918240316938,"48.429859050000005,0.8226918240316938",https://si.eeudf.org/lieu/voir/11057
164,11065,40150,43.66548105,-1.3983510814516111,"43.66548105,-1.3983510814516111",https://si.eeudf.org/lieu/voir/11065
165,11070,26300,44.97981945,5.0988693036645785,"44.97981945,5.0988693036645785",https://si.eeudf.org/lieu/voir/11070
166,11071,26310,44.57234185,5.496778643843215,"44.57234185,5.496778643843215",https://si.eeudf.org/lieu/voir/11071
167,11085,85110,46.696890350000004,-1.0362417515013993,"46.696890350000004,-1.0362417515013993",https://si.eeudf.org/lieu/voir/11085
168,11092,38380,45.38177505,5.760588259776835,"45.38177505,5.760588259776835",https://si.eeudf.org/lieu/voir/11092
169,11102,45130,47.89644185,1.6592259413357096,"47.89644185,1.6592259413357096",https://si.eeudf.org/lieu/voir/11102
170,11104,42260,45.863114550000006,3.9962475392158017,"45.863114550000006,3.9962475392158017",https://si.eeudf.org/lieu/voir/11104
171,11109,27350,49.37418485,0.677159283800925,"49.37418485,0.677159283800925",https://si.eeudf.org/lieu/voir/11109
172,11119,16460,45.91480395,0.27282182735608507,"45.91480395,0.27282182735608507",https://si.eeudf.org/lieu/voir/11119
173,11122,41270,48.02868555,1.0556575524199119,"48.02868555,1.0556575524199119",https://si.eeudf.org/lieu/voir/11122
174,11130,26120,44.869575499999996,5.064309003847684,"44.869575499999996,5.064309003847684",https://si.eeudf.org/lieu/voir/11130
175,11132,88530,48.0860317,6.735826530922932,"48.0860317,6.735826530922932",https://si.eeudf.org/lieu/voir/11132
176,11133,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11133
177,11139,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11139
178,11152,22310,48.6341313,-3.6115117353344584,"48.6341313,-3.6115117353344584",https://si.eeudf.org/lieu/voir/11152
179,11154,33115,44.619097325,-1.2057923,"44.619097325,-1.2057923",https://si.eeudf.org/lieu/voir/11154
180,11156,03000,46.572106649999995,3.29023677384333,"46.572106649999995,3.29023677384333",https://si.eeudf.org/lieu/voir/11156
181,11158,49250,47.4375811,-0.19178009620265862,"47.4375811,-0.19178009620265862",https://si.eeudf.org/lieu/voir/11158
182,11163,27750,48.903051149999996,1.3942205279857458,"48.903051149999996,1.3942205279857458",https://si.eeudf.org/lieu/voir/11163
183,11167,38490,45.5580862,5.563185244349304,"45.5580862,5.563185244349304",https://si.eeudf.org/lieu/voir/11167
184,11169,17530,45.7442994,-1.1275938414199258,"45.7442994,-1.1275938414199258",https://si.eeudf.org/lieu/voir/11169
185,11175,33670,44.776753850000006,-0.34987814559126673,"44.776753850000006,-0.34987814559126673",https://si.eeudf.org/lieu/voir/11175
186,11179,81330,43.75496595,2.4842770245271075,"43.75496595,2.4842770245271075",https://si.eeudf.org/lieu/voir/11179
187,11195,07160,44.8991645,4.434444593575419,"44.8991645,4.434444593575419",https://si.eeudf.org/lieu/voir/11195
188,11201,92190,48.8097395,2.229957954799516,"48.8097395,2.229957954799516",https://si.eeudf.org/lieu/voir/11201
189,11212,17130,45.29842715,-0.4176183672294659,"45.29842715,-0.4176183672294659",https://si.eeudf.org/lieu/voir/11212
190,11213,56430,48.0634485,-2.3129960950395283,"48.0634485,-2.3129960950395283",https://si.eeudf.org/lieu/voir/11213
191,11215,48400,44.278627,3.62189493840863,"44.278627,3.62189493840863",https://si.eeudf.org/lieu/voir/11215
192,11222,14430,49.21787755,-0.05785209589098327,"49.21787755,-0.05785209589098327",https://si.eeudf.org/lieu/voir/11222
193,11223,63530,45.853130699999994,3.018219004644734,"45.853130699999994,3.018219004644734",https://si.eeudf.org/lieu/voir/11223
194,11226,92140,48.7959696,2.2549137738717757,"48.7959696,2.2549137738717757",https://si.eeudf.org/lieu/voir/11226
195,11235,76490,49.537102149999996,0.7007051894049772,"49.537102149999996,0.7007051894049772",https://si.eeudf.org/lieu/voir/11235
196,11240,26200,44.55484705000001,4.742043705926569,"44.55484705000001,4.742043705926569",https://si.eeudf.org/lieu/voir/11240
197,11242,92190,48.8097395,2.229957954799516,"48.8097395,2.229957954799516",https://si.eeudf.org/lieu/voir/11242
199,11247,29470,48.37005755,-4.360758792085545,"48.37005755,-4.360758792085545",https://si.eeudf.org/lieu/voir/11247
200,11251,20128,41.851587800000004,8.9323903279825,"41.851587800000004,8.9323903279825",https://si.eeudf.org/lieu/voir/11251
201,11254,43520,45.042832000000004,4.234067992685486,"45.042832000000004,4.234067992685486",https://si.eeudf.org/lieu/voir/11254
202,11257,86600,46.41616500000001,0.134732974202059,"46.41616500000001,0.134732974202059",https://si.eeudf.org/lieu/voir/11257
203,11258,29470,48.37005755,-4.360758792085545,"48.37005755,-4.360758792085545",https://si.eeudf.org/lieu/voir/11258
204,11273,35120,48.53555045,-1.7232388093580726,"48.53555045,-1.7232388093580726",https://si.eeudf.org/lieu/voir/11273
205,11322,26160,44.5527752,4.9406225990872334,"44.5527752,4.9406225990872334",https://si.eeudf.org/lieu/voir/11322
